active,rating,units,room_type,month_date,revenue,nn,free,revenue_usd,occupancy_rate,revpar_usd
true,4.9,1,entire_home,2021-09-01,3754.0,14,16,4880.0,0.47,2277.0
true,4.9,1,entire_home,2021-11-01,2680.0,10,20,3484.0,0.33,1161.0
true,4.9,1,entire_home,2022-02-01,1060.0,4,24,1378.0,0.14,197.0
true,4.9,1,entire_home,2023-02-01,2504.0,7,21,3255.0,0.25,814.0
true,4.6,1,private_room,2024-02-01,770.0,23,6,1001.0,0.79,794.0
true,4.6,1,private_room,2025-02-01,1115.0,27,1,1450.0,0.96,1398.0
true,5.0,1,entire_home,2024-02-01,3371.0,22,7,4382.0,0.76,3325.0
true,5.0,1,entire_home,2025-02-01,3135.0,18,10,4076.0,0.64,2620.0
true,5.0,1,entire_home,2026-02-01,2815.0,15,13,3660.0,0.54,1960.0
true,5.0,1,entire_home,2024-09-01,2609.0,12,18,3392.0,0.4,1357.0
true,5.0,1,entire_home,2025-02-01,4381.0,18,10,5695.0,0.64,3661.0
true,5.0,1,entire_home,2026-02-01,1196.0,5,23,1555.0,0.18,278.0
true,4.6,1,entire_home,2023-02-01,3521.0,27,1,4577.0,0.96,4414.0
true,4.6,1,entire_home,2024-02-01,4518.0,19,10,5873.0,0.66,3848.0
true,4.7,1,private_room,2025-02-01,2292.0,21,7,2980.0,0.75,2235.0
true,4.5,1,entire_home,2024-09-01,4376.0,14,16,5689.0,0.47,2655.0
true,3.5,1,entire_home,2025-02-01,2260.0,18,10,2938.0,0.64,1889.0
true,4.9,1,entire_home,2025-02-01,5181.0,27,1,6735.0,0.96,6495.0
true,4.9,1,entire_home,2026-02-01,970.0,5,23,1261.0,0.18,225.0
true,4.6,1,entire_home,2023-11-01,1521.0,12,18,1977.0,0.4,791.0
true,5.0,1,entire_home,2025-02-01,4857.0,13,15,6314.0,0.46,2932.0
true,5.0,1,entire_home,2026-02-01,4204.0,13,15,5465.0,0.46,2537.0
true,4.1,1,entire_home,2025-02-01,6527.0,21,7,8485.0,0.75,6364.0
true,4.1,1,entire_home,2026-02-01,1576.0,5,23,2049.0,0.18,366.0
true,4.9,1,private_room,2025-11-01,1348.0,12,18,1752.0,0.4,701.0
true,4.5,1,private_room,2022-02-01,78.0,1,27,101.0,0.04,4.0
true,4.5,1,private_room,2026-02-01,273.0,3,25,355.0,0.11,38.0
true,4.1,1,hotel_room,2021-11-01,281.0,12,18,365.0,0.4,146.0
true,4.1,1,hotel_room,2022-02-01,147.0,7,21,191.0,0.25,48.0
true,4.1,1,hotel_room,2023-09-01,341.0,14,16,443.0,0.47,207.0
true,4.9,1,entire_home,2025-02-01,1717.0,5,23,2232.0,0.18,399.0
true,4.9,1,entire_home,2025-09-01,4848.0,10,20,6302.0,0.33,2101.0
true,4.9,1,private_room,2025-02-01,334.0,7,21,434.0,0.25,109.0
true,4.7,1,entire_home,2022-02-01,4991.0,21,7,6488.0,0.75,4866.0
true,4.7,1,entire_home,2025-02-01,283.0,1,27,368.0,0.04,13.0
true,4.7,1,entire_home,2026-02-01,889.0,3,25,1156.0,0.11,124.0
true,4.4,1,private_room,2023-02-01,208.0,4,24,270.0,0.14,39.0
true,5.0,1,entire_home,2022-04-01,1684.0,10,20,2189.0,0.33,730.0
true,5.0,1,private_room,2023-02-01,4853.0,1,27,6309.0,0.04,225.0
true,4.5,1,private_room,2021-11-01,1130.0,10,20,1469.0,0.33,490.0
true,4.5,1,private_room,2023-11-01,2238.0,12,18,2909.0,0.4,1164.0
true,4.5,1,private_room,2024-09-01,1687.0,12,18,2193.0,0.4,877.0
true,4.5,1,private_room,2026-02-01,1823.0,10,18,2370.0,0.36,846.0
true,5.0,1,entire_home,2024-09-01,1884.0,12,18,2449.0,0.4,980.0
true,5.0,1,entire_home,2025-02-01,2000.0,13,15,2600.0,0.46,1207.0
true,4.9,1,entire_home,2025-09-01,1434.0,10,20,1864.0,0.33,621.0
true,4.9,1,entire_home,2026-02-01,830.0,6,22,1079.0,0.21,231.0
true,4.0,1,entire_home,2023-02-01,15585.0,18,10,20261.0,0.64,13025.0
true,4.7,1,private_room,2023-11-01,582.0,10,20,757.0,0.33,252.0
true,4.7,1,private_room,2024-02-01,722.0,18,11,939.0,0.62,583.0
true,4.7,1,private_room,2024-04-01,424.0,12,18,551.0,0.4,220.0
true,4.7,1,entire_home,2022-02-01,818.0,4,24,1063.0,0.14,152.0
true,4.7,1,entire_home,2022-11-01,2175.0,12,18,2828.0,0.4,1131.0
true,4.7,1,entire_home,2025-09-01,3843.0,14,16,4996.0,0.47,2331.0
true,4.5,1,entire_home,2023-02-01,1954.0,21,7,2540.0,0.75,1905.0
true,4.5,1,entire_home,2024-02-01,409.0,4,25,532.0,0.14,73.0
true,4.5,1,entire_home,2025-02-01,2284.0,25,3,2969.0,0.89,2651.0
true,4.5,1,entire_home,2025-04-01,1322.0,14,16,1719.0,0.47,802.0
true,4.8,1,private_room,2026-02-01,674.0,6,22,876.0,0.21,188.0
true,4.3,1,private_room,2022-06-01,631.0,10,20,820.0,0.33,273.0
true,4.3,1,private_room,2025-04-01,1649.0,10,20,2144.0,0.33,715.0
true,4.6,1,private_room,2023-02-01,3794.0,23,5,4932.0,0.82,4051.0
true,4.5,1,private_room,2022-02-01,268.0,4,24,348.0,0.14,50.0
true,4.5,1,private_room,2022-11-01,850.0,10,20,1105.0,0.33,368.0
true,4.6,1,private_room,2025-06-01,1603.0,10,20,2084.0,0.33,695.0
true,4.8,1,entire_home,2024-11-01,1632.0,10,20,2122.0,0.33,707.0
true,4.8,1,entire_home,2026-02-01,549.0,3,25,714.0,0.11,76.0
true,4.7,1,entire_home,2025-02-01,3688.0,23,5,4794.0,0.82,3938.0
true,4.9,1,entire_home,2025-02-01,1585.0,5,23,2061.0,0.18,368.0
true,4.7,1,entire_home,2025-02-01,2921.0,21,7,3797.0,0.75,2848.0
true,4.7,1,entire_home,2026-02-01,789.0,6,22,1026.0,0.21,220.0
true,4.5,1,private_room,2023-02-01,133.0,3,25,173.0,0.11,19.0
true,4.9,1,entire_home,2023-02-01,100.0,1,27,130.0,0.04,5.0
true,4.9,1,entire_home,2023-04-01,1295.0,12,18,1684.0,0.4,673.0
true,4.6,1,entire_home,2025-02-01,3897.0,21,7,5066.0,0.75,3800.0
true,4.9,1,entire_home,2024-11-01,3438.0,10,20,4469.0,0.33,1490.0
true,4.9,1,entire_home,2025-02-01,1424.0,4,24,1851.0,0.14,264.0
true,5.0,1,private_room,2022-02-01,680.0,5,23,884.0,0.18,158.0
true,5.0,1,private_room,2023-02-01,613.0,3,25,797.0,0.11,85.0
true,4.8,1,entire_home,2022-09-01,6427.0,14,16,8355.0,0.47,3899.0
true,4.8,1,entire_home,2023-02-01,132.0,1,27,172.0,0.04,6.0
true,4.4,1,entire_home,2022-04-01,2212.0,14,16,2876.0,0.47,1342.0
true,4.4,1,entire_home,2023-02-01,2619.0,18,10,3405.0,0.64,2189.0
true,4.4,1,entire_home,2024-02-01,1183.0,7,22,1538.0,0.24,371.0
true,4.4,1,entire_home,2025-02-01,2051.0,18,10,2666.0,0.64,1714.0
true,4.8,1,private_room,2022-02-01,1281.0,27,1,1665.0,0.96,1606.0
true,4.8,1,private_room,2023-11-01,547.0,10,20,711.0,0.33,237.0
true,4.8,1,private_room,2024-02-01,365.0,7,22,475.0,0.24,115.0
true,4.8,1,entire_home,2024-02-01,1474.0,8,21,1916.0,0.28,529.0
true,4.8,1,entire_home,2025-02-01,819.0,4,24,1065.0,0.14,152.0
true,4.7,1,entire_home,2022-02-01,712.0,6,22,926.0,0.21,198.0
true,3.3,1,private_room,2025-02-01,351.0,6,22,456.0,0.21,98.0
true,3.3,1,private_room,2025-04-01,609.0,10,20,792.0,0.33,264.0
true,3.3,1,private_room,2025-06-01,734.0,10,20,954.0,0.33,318.0
true,5.0,1,entire_home,2022-02-01,3100.0,23,5,4030.0,0.82,3310.0
true,4.8,1,entire_home,2022-02-01,938.0,5,23,1219.0,0.18,218.0
true,4.9,1,private_room,2025-02-01,356.0,6,22,463.0,0.21,99.0
true,4.5,1,entire_home,2023-02-01,4640.0,27,1,6032.0,0.96,5817.0
true,4.5,1,entire_home,2023-11-01,2078.0,14,16,2701.0,0.47,1261.0
true,5.0,1,entire_home,2025-02-01,1868.0,10,18,2428.0,0.36,867.0
true,4.9,1,entire_home,2022-02-01,235.0,1,27,306.0,0.04,11.0
true,4.9,1,entire_home,2024-06-01,4744.0,10,20,6167.0,0.33,2056.0
true,4.9,1,entire_home,2022-11-01,649.0,14,16,844.0,0.47,394.0
true,4.5,1,entire_home,2024-02-01,2352.0,11,18,3058.0,0.38,1160.0
true,4.5,1,entire_home,2022-02-01,2494.0,18,10,3242.0,0.64,2084.0
true,4.6,1,private_room,2023-02-01,975.0,22,6,1268.0,0.79,996.0
true,4.6,1,entire_home,2025-02-01,1140.0,4,24,1482.0,0.14,212.0
true,4.9,1,private_room,2025-02-01,376.0,4,24,489.0,0.14,70.0
true,4.9,1,entire_home,2025-02-01,1197.0,4,24,1556.0,0.14,222.0
